region_isp,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
100_01_12716,01-01-2011,,0.063588,190.000000,0.530876,0.440697,1.559140,
100_01_12716,02-01-2011,,0.073698,181.000000,0.880068,0.056073,1.590361,
100_01_12716,03-01-2011,0.242732,0.132893,179.000000,0.938195,0.011845,1.663043,212
100_01_12716,07-01-2011,,0.133405,,,,,
100_01_12716,08-01-2011,,0.156263,,,,,
100_01_12716,09-01-2011,,0.142013,,,,,
100_01_12716,11-01-2010,,0.064035,,,,,
100_01_12716,12-01-2010,,0.062809,170.000000,0.664690,0.317677,0.768939,
100_01_13124,01-01-2011,3.203855,0.965470,82.000000,0.466133,0.522071,0.880052,485
100_01_13124,02-01-2010,,0.681417,63.000000,0.901274,0.092199,0.971292,
100_01_13124,02-01-2011,5.000778,1.045008,79.000000,0.340872,0.651142,0.827988,370
100_01_13124,03-01-2010,3.545924,0.487349,75.000000,0.835285,0.153213,1.608911,265
100_01_13124,03-01-2011,5.180434,1.407622,72.000000,0.202943,0.787871,0.644269,404
100_01_13124,04-01-2010,3.492576,0.603058,76.000000,0.632401,0.359681,1.537500,502
100_01_13124,05-01-2010,3.305444,0.603083,93.000000,0.756194,0.235426,1.669065,542
100_01_13124,06-01-2010,3.540396,0.689906,90.000000,0.837714,0.150850,1.942819,486
100_01_13124,07-01-2010,3.017381,0.686217,98.000000,0.820524,0.166550,1.752747,343
100_01_13124,07-01-2011,5.314904,1.809966,74.000000,0.440840,0.545659,1.305369,363
100_01_13124,08-01-2010,3.175864,0.609253,95.000000,0.537036,0.455023,0.978469,250
100_01_13124,08-01-2011,3.109583,1.728602,85.000000,0.583065,0.412064,0.996283,336
100_01_13124,09-01-2010,3.240020,0.683895,92.000000,0.593554,0.400521,0.865772,270
100_01_13124,09-01-2011,4.668578,1.930856,74.000000,0.756385,0.239510,1.628627,330
100_01_13124,10-01-2010,3.250608,0.964695,90.000000,0.427642,0.567913,0.804067,317
100_01_13124,11-01-2010,2.756732,1.030160,88.000000,0.877986,0.113011,0.934903,503
100_01_13124,12-01-2010,2.803732,1.166611,81.000000,0.864279,0.129489,1.075269,507
100_01_29580,01-01-2011,,2.009571,95.000000,0.512084,0.484119,1.584158,
100_01_29580,02-01-2010,,2.452165,58.000000,0.721032,0.274022,2.187215,
100_01_29580,02-01-2011,,2.148490,93.000000,0.604470,0.390652,1.750943,
100_01_29580,03-01-2010,7.161128,2.409720,84.000000,0.922239,0.055210,3.122283,266
100_01_29580,03-01-2011,,2.431351,86.000000,0.558288,0.431372,1.625442,
100_01_29580,04-01-2010,6.427093,2.211396,84.000000,0.766785,0.229160,2.396527,448
100_01_29580,05-01-2010,6.477688,2.090750,86.000000,0.838605,0.157570,2.929252,487
100_01_29580,06-01-2010,6.669543,2.250676,87.000000,0.808030,0.181794,2.847512,424
100_01_29580,07-01-2010,5.137900,2.292037,87.000000,0.813855,0.162698,2.376448,335
100_01_29580,07-01-2011,,3.256234,83.000000,0.661824,0.334380,1.968379,
100_01_29580,08-01-2010,,2.210890,84.000000,0.315338,0.677675,1.132616,
100_01_29580,08-01-2011,,2.891302,86.000000,0.531464,0.465556,1.849593,
100_01_29580,09-01-2010,,2.470284,89.000000,0.422788,0.574259,1.528777,
100_01_29580,09-01-2011,,3.009366,85.000000,0.573479,0.420535,1.820312,
100_01_29580,10-01-2010,5.069273,2.814463,82.000000,0.539470,0.455246,1.264151,208
100_01_29580,11-01-2010,,2.652746,80.000000,0.275223,0.718291,1.501538,
100_01_29580,12-01-2010,,2.249497,92.000000,0.434857,0.558539,1.328025,
100_01_31250,01-01-2011,,0.643579,104.000000,0.683567,0.308283,1.022222,
100_01_31250,03-01-2010,,0.357498,,,,,
100_01_31250,04-01-2010,2.463214,0.337936,113.000000,0.869461,0.119729,1.596386,286
100_01_31250,05-01-2010,2.443118,0.367412,114.000000,0.914156,0.074097,2.667638,302
100_01_31250,06-01-2010,2.473157,0.392355,111.000000,0.900855,0.086924,2.410765,309
100_01_31250,07-01-2010,3.239585,0.491051,101.000000,0.833883,0.156397,1.724806,224
100_01_31250,10-01-2010,,0.383992,,,,,
100_01_31250,11-01-2010,,0.346123,,,,,
100_01_31250,12-01-2010,,0.563220,,,,,
100_01_35141,01-01-2010,,0.284314,,,,,
100_01_35141,01-01-2011,5.569026,1.929682,98.000000,0.126607,0.866897,1.386555,593
100_01_35141,02-01-2010,7.704019,0.323346,56.000000,0.727745,0.260790,2.171429,361
100_01_35141,02-01-2011,6.372719,2.129930,92.000000,0.302362,0.693357,1.585028,651
100_01_35141,03-01-2010,3.939119,0.346417,112.000000,0.857785,0.136219,2.256743,710
100_01_35141,03-01-2011,5.209717,2.535340,88.000000,0.738290,0.257431,1.397634,933
100_01_35141,04-01-2010,6.051227,1.005249,90.000000,0.612988,0.379670,2.550542,1319
100_01_35141,05-01-2010,13.823749,1.968218,89.000000,0.169243,0.821753,2.638245,1246
100_01_35141,06-01-2010,3.432816,1.224672,101.000000,0.887006,0.100306,2.677169,1657
100_01_35141,07-01-2010,3.288586,1.607916,101.000000,0.888781,0.101179,2.603900,1365
100_01_35141,07-01-2011,8.377820,3.101510,84.000000,0.775483,0.220830,1.767766,675
100_01_35141,08-01-2010,4.474375,1.911857,94.500000,0.262335,0.719576,1.544118,469
100_01_35141,08-01-2011,7.193423,3.073122,86.000000,0.774292,0.215174,1.841317,565
100_01_35141,09-01-2010,5.906546,1.928938,103.000000,0.149736,0.846057,1.685149,529
100_01_35141,09-01-2011,5.552922,3.531078,85.000000,0.894922,0.098895,1.964432,681
100_01_35141,10-01-2010,4.990832,1.968016,89.000000,0.313131,0.674346,1.458075,765
100_01_35141,11-01-2010,10.792524,2.090170,82.000000,0.105615,0.888726,1.365635,579
100_01_35141,12-01-2010,8.567789,2.008767,96.000000,0.114574,0.877322,1.391955,496
100_01_35249,01-01-2011,1.042478,1.125795,113.000000,0.986849,0.000000,0.158798,231
100_01_35249,03-01-2011,,1.003575,,,,,
100_01_35249,04-01-2010,1.463816,0.586778,96.000000,0.986484,0.000274,1.808333,233
100_01_35249,05-01-2010,1.279776,0.622709,98.000000,0.986916,0.000270,2.231672,334
100_01_35249,06-01-2010,1.394744,0.533419,110.000000,0.985062,0.000368,1.871080,283
100_01_35249,10-01-2010,,0.763527,,,,,
100_01_35249,11-01-2010,1.053692,0.804056,84.000000,0.988354,0.000000,1.183962,211
100_01_35249,12-01-2010,1.025427,1.205706,97.000000,0.993466,0.000000,0.980392,248
100_01_39184,05-01-2010,,0.844323,93.500000,0.183875,0.812401,1.463964,
100_01_39184,06-01-2010,,0.844624,94.000000,0.308292,0.688338,1.761468,
100_01_39184,07-01-2010,,0.843852,,,,,
100_01_39246,01-01-2011,,2.689240,75.000000,0.107944,0.885944,0.875000,
100_01_39246,02-01-2011,,2.611457,72.000000,0.128403,0.863583,1.379630,
100_01_39246,03-01-2011,,2.771003,,,,,
100_01_39246,04-01-2010,,2.248989,87.000000,0.114509,0.878855,1.543544,
100_01_39246,05-01-2010,9.692416,2.290913,85.000000,0.114523,0.879428,2.070922,204
100_01_39246,06-01-2010,,2.290168,86.000000,0.115546,0.877931,1.954660,
100_01_39246,07-01-2010,,2.329583,84.000000,0.108258,0.880637,1.747720,
100_01_39246,10-01-2010,,2.410595,86.000000,0.099006,0.893293,1.115207,
100_01_39246,11-01-2010,,2.452551,83.000000,0.107858,0.888108,1.244980,
100_01_42081,03-01-2011,,0.148610,,,,,
100_01_42081,04-01-2010,1.180562,0.219534,114.000000,0.968170,0.021470,1.859504,213
100_01_42081,05-01-2010,,0.151877,114.000000,0.973578,0.011653,1.468293,
100_01_42081,06-01-2010,,0.162558,,,,,
100_01_42081,07-01-2010,,0.160102,,,,,
100_01_42081,09-01-2010,,0.151616,,,,,
100_01_42081,10-01-2010,,0.141944,,,,,
100_01_42081,11-01-2010,,0.147433,,,,,
100_01_42081,12-01-2010,,0.158303,,,,,
100_01_42555,01-01-2011,,0.668361,,,,,
100_01_42555,03-01-2010,,0.562550,,,,,
100_01_42555,04-01-2010,1.915704,0.424391,114.000000,0.931226,0.056398,1.978916,273
100_01_42555,05-01-2010,1.796859,0.598491,114.000000,0.952715,0.035104,2.591029,326
100_01_42555,06-01-2010,2.209072,0.764115,111.000000,0.920590,0.068108,2.147541,313
100_01_42555,07-01-2010,2.537612,0.890027,101.000000,0.897806,0.092891,1.626812,238
100_01_42555,10-01-2010,,0.641120,107.000000,0.932655,0.053319,0.736170,
100_01_42555,11-01-2010,,0.642156,106.000000,0.753360,0.235960,1.279070,
100_01_42555,12-01-2010,,0.580350,,,,,
100_01_43561,01-01-2011,4.687670,2.714547,80.000000,0.723448,0.271782,0.896406,342
100_01_43561,02-01-2011,4.958092,3.293952,83.000000,0.773716,0.215832,1.425974,279
100_01_43561,03-01-2010,,1.683349,115.000000,0.295238,0.696897,1.596154,
100_01_43561,03-01-2011,4.208957,2.972977,79.000000,0.850326,0.139671,1.489260,342
100_01_43561,04-01-2010,5.217514,1.890273,113.000000,0.270643,0.722124,2.133212,306
100_01_43561,05-01-2010,5.028292,2.109566,115.000000,0.456631,0.540357,2.293015,346
100_01_43561,06-01-2010,3.860605,2.091248,110.000000,0.626110,0.359954,2.151463,369
100_01_43561,07-01-2010,3.761722,2.247930,101.000000,0.837387,0.142388,1.951983,331
100_01_43561,07-01-2011,,4.060476,74.000000,0.580910,0.414628,1.404110,
100_01_43561,08-01-2010,2.989684,3.132653,99.000000,0.903732,0.091884,0.939799,260
100_01_43561,08-01-2011,,3.557748,82.000000,0.537993,0.458847,1.546559,
100_01_43561,09-01-2010,3.589906,3.174071,103.000000,0.758779,0.235484,1.314706,244
100_01_43561,09-01-2011,,3.335327,79.500000,0.550526,0.388966,1.541516,
100_01_43561,10-01-2010,4.383594,2.472530,107.000000,0.515435,0.465559,0.988399,280
100_01_43561,11-01-2010,5.703237,2.975097,92.000000,0.637085,0.355644,1.414579,291
100_01_43561,12-01-2010,5.383606,3.517817,82.000000,0.595097,0.392357,1.406452,311
100_01_48452,04-01-2010,,0.764327,69.000000,0.429844,0.564065,2.801724,
100_01_48452,05-01-2010,,1.204852,87.000000,0.492738,0.497659,2.466102,
100_01_48452,06-01-2010,,1.246858,82.000000,0.608624,0.381054,2.948357,
100_01_8866,01-01-2010,,0.482834,,,,,
100_01_8866,01-01-2011,3.521388,0.612865,99.000000,0.349936,0.644255,0.738186,879
100_01_8866,02-01-2010,3.882944,0.603562,77.000000,0.465112,0.530053,1.521484,294
100_01_8866,02-01-2011,4.510491,0.643490,83.000000,0.307713,0.683099,0.804380,775
100_01_8866,03-01-2010,4.313732,0.603181,91.000000,0.133001,0.855285,1.186455,559
100_01_8866,03-01-2011,4.591569,0.644024,83.000000,0.467624,0.528102,0.895625,763
100_01_8866,04-01-2010,3.847299,0.603308,96.000000,0.129487,0.863891,1.200000,987
100_01_8866,05-01-2010,4.310444,0.603123,101.000000,0.133155,0.860400,1.544054,1026
100_01_8866,06-01-2010,3.704898,0.603169,109.000000,0.304895,0.687258,1.592126,1037
100_01_8866,07-01-2010,3.513329,0.603364,115.000000,0.146532,0.847396,1.428571,861
100_01_8866,07-01-2011,5.664520,0.676132,78.000000,0.507902,0.488593,1.169045,537
100_01_8866,08-01-2010,3.222180,0.603481,113.000000,0.115844,0.876284,0.640596,476
100_01_8866,08-01-2011,5.614776,0.680964,82.000000,0.757835,0.228856,1.213777,553
100_01_8866,09-01-2010,3.364621,0.603352,113.000000,0.124163,0.868338,0.653279,564
100_01_8866,09-01-2011,6.380841,0.683932,80.000000,0.838361,0.157718,1.398844,550
100_01_8866,10-01-2010,3.355487,0.603567,113.000000,0.131716,0.858133,0.634302,688
100_01_8866,11-01-2010,3.260570,0.603415,118.000000,0.151659,0.841159,0.549624,750
100_01_8866,12-01-2010,3.644675,0.643500,100.000000,0.123577,0.868229,0.584098,826
100_01_8877,01-01-2011,4.133661,1.648468,91.000000,0.132422,0.860262,1.182927,211
100_01_8877,02-01-2010,,1.448036,56.000000,0.645827,0.348939,2.302682,
100_01_8877,02-01-2011,,1.084966,87.000000,0.164757,0.832098,0.871257,
100_01_8877,03-01-2010,4.171386,0.836289,154.000000,0.457822,0.536907,2.087683,281
100_01_8877,03-01-2011,,1.451415,80.000000,0.115635,0.878715,0.984472,
100_01_8877,04-01-2010,2.841556,0.804347,101.000000,0.472801,0.519380,1.822816,520
100_01_8877,05-01-2010,4.687509,1.729877,88.000000,0.138821,0.855643,2.032333,465
100_01_8877,06-01-2010,9.521284,1.807140,82.000000,0.093168,0.901932,1.845443,335
100_01_8877,07-01-2010,6.052425,1.767566,93.000000,0.120198,0.872232,1.845907,308
100_01_8877,07-01-2011,,1.689617,74.000000,0.705867,0.290094,1.683128,
100_01_8877,08-01-2010,,1.126410,175.000000,0.351115,0.643751,1.603175,
100_01_8877,08-01-2011,,1.949763,75.000000,0.750518,0.244714,1.248062,
100_01_8877,09-01-2010,,1.165989,175.000000,0.198900,0.793833,1.105105,
100_01_8877,09-01-2011,,2.131560,72.000000,0.725282,0.270960,1.625000,
100_01_8877,10-01-2010,,1.085661,120.500000,0.148468,0.837701,1.155612,
100_01_8877,11-01-2010,,1.887909,85.000000,0.107721,0.885258,1.062842,
100_01_8877,12-01-2010,4.689696,1.889487,83.000000,0.139975,0.850561,1.301887,232
100_01_9070,03-01-2010,,1.045734,100.000000,0.702235,0.292999,1.778281,
100_01_9070,04-01-2010,4.191064,0.924419,90.000000,0.575451,0.420559,1.891892,211
100_01_9070,05-01-2010,4.137771,1.125723,86.000000,0.463674,0.520089,1.473552,264
100_01_9070,06-01-2010,4.684113,1.285935,87.000000,0.488105,0.486141,2.271505,243
100_01_9070,07-01-2010,,1.326642,87.000000,0.592333,0.403942,1.931452,
100_02_28898,07-01-2010,,1.005514,,0.869551,0.117191,1.119403,
100_02_29084,01-01-2011,,1.839339,101.000000,0.392395,0.601917,1.176080,
100_02_29084,02-01-2011,,2.372210,72.000000,0.399001,0.596713,1.142857,
100_02_29084,03-01-2011,,2.531495,72.000000,0.414558,0.578564,1.500000,
100_02_29084,04-01-2010,3.136291,1.606473,122.000000,0.372902,0.621999,1.957627,230
100_02_29084,05-01-2010,,1.528947,125.000000,0.206216,0.781548,1.358543,
100_02_29084,06-01-2010,,1.606960,121.000000,0.412751,0.559794,1.903010,
100_02_29084,07-01-2010,3.477472,1.607283,111.000000,0.428826,0.564110,2.012346,206
100_02_29084,07-01-2011,,2.733474,68.000000,0.427533,0.563396,1.488789,
100_02_29084,08-01-2011,,2.571353,71.000000,0.688025,0.300045,1.622318,
100_02_29084,09-01-2010,,1.807192,113.000000,0.290350,0.699835,1.815534,
100_02_29084,09-01-2011,,2.893826,70.000000,0.480150,0.515576,1.211268,
100_02_29084,10-01-2010,,1.608497,121.000000,0.320078,0.671390,1.243151,
100_02_29084,11-01-2010,,1.718966,111.500000,0.262887,0.728206,1.241525,
100_02_29084,12-01-2010,4.090701,1.910026,90.000000,0.420373,0.575651,1.135714,200
100_02_34577,07-01-2010,,0.085829,,,,,
100_02_8866,01-01-2011,2.472051,0.603508,107.000000,0.477625,0.517088,0.831182,582
100_02_8866,02-01-2010,2.538283,0.590648,85.000000,0.822700,0.152878,1.211356,207
100_02_8866,02-01-2011,3.174923,0.626587,92.000000,0.370861,0.623980,0.646982,438
100_02_8866,03-01-2010,2.073748,0.563042,107.000000,0.719643,0.265812,1.136905,429
100_02_8866,03-01-2011,3.531741,0.643795,91.000000,0.340362,0.650736,0.937860,515
100_02_8866,04-01-2010,2.337197,0.600318,109.000000,0.680206,0.313408,1.461538,703
100_02_8866,05-01-2010,2.428274,0.595475,112.000000,0.728847,0.263072,1.633035,783
100_02_8866,06-01-2010,2.324153,0.563144,120.000000,0.690223,0.288318,1.533722,760
100_02_8866,07-01-2010,2.180029,0.585643,123.000000,0.665249,0.327259,1.349274,739
100_02_8866,07-01-2011,4.260019,0.643542,88.000000,0.519789,0.473533,1.179379,445
100_02_8866,08-01-2010,2.091374,0.590784,122.000000,0.446490,0.549252,1.020891,431
100_02_8866,08-01-2011,3.508706,0.633011,91.000000,0.449259,0.542955,0.840170,455
100_02_8866,09-01-2010,1.815637,0.563294,126.500000,0.733531,0.251088,0.964392,448
100_02_8866,09-01-2011,4.055373,0.643876,91.000000,0.495472,0.500697,0.939394,385
100_02_8866,10-01-2010,1.937421,0.603260,131.000000,0.729848,0.259412,0.750000,539
100_02_8866,11-01-2010,2.169597,0.603746,122.000000,0.755463,0.233983,0.903186,533
100_02_8866,12-01-2010,2.753535,0.643450,104.000000,0.513696,0.482607,0.995521,531
100_03_12796,03-01-2010,,1.730493,,,,,
100_03_12796,04-01-2010,,1.688839,,,,,
100_03_12796,12-01-2010,,1.848981,99.000000,0.777509,0.218180,0.947368,
100_03_29580,04-01-2010,,1.848706,91.000000,0.686814,0.309971,2.318548,
100_03_29580,05-01-2010,,1.848590,93.000000,0.847755,0.145441,2.898618,
100_03_29580,06-01-2010,,1.848937,94.000000,0.572139,0.423332,2.275701,
100_03_29687,04-01-2010,,0.925228,108.000000,0.932850,0.043183,1.072464,
100_03_29687,05-01-2010,,0.964400,,,,,
100_03_34361,10-01-2010,2.925020,0.845114,94.000000,0.927543,0.067749,0.948837,212
100_03_8866,01-01-2010,,0.643492,,,,,
100_03_8866,01-01-2011,3.426985,0.591387,105.000000,0.253821,0.735456,0.961538,719
100_03_8866,02-01-2010,2.838383,0.563270,84.000000,0.818611,0.176202,1.522822,318
100_03_8866,02-01-2011,3.868478,0.616993,92.000000,0.528090,0.466168,1.081200,673
100_03_8866,03-01-2010,2.696086,0.523019,106.000000,0.770536,0.224559,1.668904,549
100_03_8866,03-01-2011,4.148591,0.608612,93.000000,0.582755,0.409391,0.970428,768
100_03_8866,04-01-2010,3.020361,0.563013,108.000000,0.456278,0.536305,1.479117,932
100_03_8866,05-01-2010,4.184291,0.576260,110.000000,0.210555,0.782460,1.712312,866
100_03_8866,06-01-2010,4.077319,0.566067,119.000000,0.158119,0.832342,1.739343,718
100_03_8866,07-01-2010,3.602256,0.558873,121.000000,0.607578,0.385473,1.750186,774
100_03_8866,07-01-2011,5.102667,0.603454,88.000000,0.784057,0.207290,1.202557,653
100_03_8866,08-01-2010,2.999064,0.563283,120.000000,0.275918,0.712365,0.932668,434
100_03_8866,08-01-2011,4.482585,0.640087,91.000000,0.813015,0.174473,1.070455,572
100_03_8866,09-01-2010,3.014371,0.553309,126.000000,0.301706,0.693251,0.998836,473
100_03_8866,09-01-2011,5.365049,0.643706,92.000000,0.793725,0.202209,1.431784,418
100_03_8866,10-01-2010,2.743232,0.545843,135.000000,0.355181,0.640221,0.893908,529
100_03_8866,11-01-2010,3.341498,0.544011,122.000000,0.295197,0.699858,1.093541,492
100_03_8866,12-01-2010,3.668945,0.589075,103.000000,0.134372,0.860884,0.694536,618
100_04_24964,04-01-2010,,2.089969,,,,,
100_04_24964,05-01-2010,,1.969253,93.000000,0.384434,0.611766,0.940426,
100_04_29582,01-01-2011,3.080175,0.873679,99.000000,0.931682,0.051609,1.117479,301
100_04_29582,02-01-2011,3.224295,0.902908,87.000000,0.943934,0.044735,1.835443,265
100_04_29582,03-01-2010,3.842445,0.883655,91.000000,0.911967,0.083886,1.639405,202
100_04_29582,03-01-2011,3.447602,0.886915,82.000000,0.925286,0.063979,1.586538,257
100_04_29582,04-01-2010,3.174347,0.827868,106.000000,0.935401,0.046856,1.357647,322
100_04_29582,05-01-2010,3.752025,0.835833,107.000000,0.839472,0.154828,1.821429,390
100_04_29582,06-01-2010,3.561469,0.830522,98.000000,0.938607,0.047939,1.952596,351
100_04_29582,07-01-2010,3.713422,0.889903,96.000000,0.884112,0.099946,1.505405,280
100_04_29582,07-01-2011,,0.884669,,,,,
100_04_29582,08-01-2010,,0.884553,96.000000,0.810912,0.182197,1.275424,
100_04_29582,09-01-2010,2.954855,0.884696,97.500000,0.945908,0.042249,1.052846,203
100_04_29582,10-01-2010,2.917202,0.872315,94.000000,0.933196,0.055923,0.992395,217
100_04_29582,11-01-2010,3.715653,0.913216,91.000000,0.917471,0.072284,1.301003,235
100_04_29582,12-01-2010,3.608528,0.884138,87.000000,0.893995,0.102367,0.861290,251
100_04_34754,01-01-2011,1.659484,0.852259,113.000000,0.978237,0.009692,1.174312,212
100_04_34754,02-01-2011,1.822318,0.777667,100.000000,0.985352,0.004532,0.750958,252
100_04_34754,03-01-2010,,1.808952,,,,,
100_04_34754,03-01-2011,1.980971,0.884476,86.000000,0.987683,0.000614,0.630952,245
100_04_34754,04-01-2010,2.396664,1.486441,96.500000,0.968739,0.020081,0.812834,336
100_04_34754,05-01-2010,2.352509,0.834657,108.000000,0.956768,0.032539,1.450920,291
100_04_34754,06-01-2010,2.087587,0.764346,116.000000,0.961784,0.022396,1.709877,290
100_04_34754,07-01-2010,2.365332,1.100375,106.000000,0.970375,0.021157,1.424812,244
100_04_34754,10-01-2010,,0.749570,114.000000,0.963285,0.022633,0.746269,
100_04_34754,11-01-2010,,0.698565,,,,,
100_04_34754,12-01-2010,1.602853,0.905799,103.000000,0.981986,0.009004,1.242798,238
100_04_8866,01-01-2011,3.223057,0.478407,100.000000,0.209283,0.782241,0.631795,514
100_04_8866,02-01-2010,2.431224,0.448204,84.000000,0.908380,0.078975,1.229829,304
100_04_8866,02-01-2011,3.664010,0.553405,88.000000,0.179676,0.813589,0.701250,418
100_04_8866,03-01-2010,2.829361,0.492878,104.000000,0.666137,0.321142,0.753323,419
100_04_8866,03-01-2011,4.182643,0.555596,89.000000,0.121427,0.866309,0.686732,410
100_04_8866,04-01-2010,2.862457,0.507080,107.000000,0.530812,0.462072,1.169687,714
100_04_8866,05-01-2010,3.015577,0.460283,113.000000,0.338538,0.656665,1.371560,719
100_04_8866,06-01-2010,3.013926,0.441288,119.000000,0.445156,0.550781,1.191606,633
100_04_8866,07-01-2010,3.065439,0.446989,118.000000,0.424988,0.571418,1.409972,601
100_04_8866,07-01-2011,4.653175,0.632419,84.000000,0.510865,0.485247,1.175041,372
100_04_8866,08-01-2010,2.953468,0.442326,118.000000,0.333347,0.656666,0.842105,422
100_04_8866,08-01-2011,4.340208,0.606840,88.000000,0.650065,0.343408,1.116725,363
100_04_8866,09-01-2010,2.774737,0.433983,121.000000,0.432226,0.557504,0.881259,413
100_04_8866,09-01-2011,5.101289,0.603581,87.000000,0.510012,0.477177,1.168582,308
100_04_8866,10-01-2010,2.684262,0.473980,132.000000,0.606502,0.383255,0.798235,475
100_04_8866,11-01-2010,2.773646,0.487804,120.000000,0.599164,0.373814,0.805519,465
100_04_8866,12-01-2010,2.958195,0.514041,100.000000,0.621156,0.371292,0.627473,575
100_05_42248,04-01-2010,,1.726989,83.000000,0.851126,0.144266,0.668317,
100_05_42248,05-01-2010,4.213153,1.930124,84.000000,0.930112,0.063969,1.770609,237
100_05_42248,06-01-2010,,1.487092,85.000000,0.861168,0.129098,1.537736,
100_05_8866,01-01-2011,,0.601560,,,,,
100_05_8866,04-01-2010,,0.499254,113.000000,0.151136,0.843580,1.175074,
100_05_8866,05-01-2010,,0.553232,121.000000,0.345972,0.650710,1.810289,
100_05_8866,06-01-2010,,0.571660,129.000000,0.260555,0.728633,1.533088,
100_05_8866,07-01-2010,,0.555328,127.000000,0.482405,0.507285,1.060241,
100_05_8866,11-01-2010,,0.586860,,,,,
100_05_8866,12-01-2010,,0.603214,108.000000,0.462186,0.534636,1.427966,
100_06_12716,07-01-2010,,0.060266,,,,,
100_06_12716,08-01-2010,,0.069883,,,,,
100_06_12829,01-01-2011,,1.850160,81.000000,0.184045,0.812270,0.777251,
100_06_12829,03-01-2010,,1.527261,92.000000,0.730368,0.262339,1.323276,
100_06_12829,04-01-2010,3.533421,1.607309,95.000000,0.704893,0.279495,1.536082,273
100_06_12829,05-01-2010,4.099408,1.608527,95.000000,0.570676,0.415164,1.602978,261
100_06_12829,06-01-2010,3.637361,1.526944,122.000000,0.792381,0.195877,1.873156,230
100_06_12829,07-01-2010,3.663537,1.608441,110.000000,0.839032,0.146707,1.848168,258
100_06_12829,08-01-2010,,1.528544,,,,,
100_06_13124,01-01-2011,5.006380,1.165661,84.000000,0.313644,0.679342,0.888730,400
100_06_13124,02-01-2010,,1.567619,75.000000,0.444222,0.551704,1.169421,
100_06_13124,02-01-2011,5.232760,1.086827,81.000000,0.390437,0.603613,1.089005,349
100_06_13124,03-01-2010,5.759542,0.751600,75.000000,0.226996,0.768706,1.385514,226
100_06_13124,03-01-2011,6.209887,1.567504,73.000000,0.236245,0.759272,1.045889,293
100_06_13124,04-01-2010,5.528434,0.793750,77.000000,0.282484,0.709576,1.524138,472
100_06_13124,05-01-2010,5.893755,0.965432,96.000000,0.187115,0.798443,1.757508,457
100_06_13124,06-01-2010,5.675449,1.085778,90.000000,0.153429,0.834205,1.643296,418
100_06_13124,07-01-2010,5.688259,1.649400,98.000000,0.106663,0.882382,1.404463,331
100_06_13124,07-01-2011,5.952851,2.210344,75.000000,0.413553,0.578299,1.338565,269
100_06_13124,08-01-2010,,1.687206,95.000000,0.113881,0.878386,0.988318,
100_06_13124,08-01-2011,3.509345,2.207679,84.000000,0.866690,0.112399,1.290488,286
100_06_13124,09-01-2010,5.252032,1.647709,93.000000,0.247960,0.743563,1.140625,245
100_06_13124,09-01-2011,4.147020,2.252166,75.000000,0.459483,0.536385,1.458525,268
100_06_13124,10-01-2010,4.856292,1.528404,90.000000,0.134376,0.861539,0.718110,325
100_06_13124,11-01-2010,5.997255,1.527593,89.000000,0.145503,0.849613,1.010920,308
100_06_13124,12-01-2010,5.223552,1.504511,79.500000,0.135757,0.858259,0.715385,326
100_06_28909,04-01-2010,,0.559207,96.000000,0.237917,0.757169,1.520430,
100_06_28909,05-01-2010,,0.563147,98.000000,0.184011,0.810280,1.574419,
100_06_28909,06-01-2010,,0.563287,124.000000,0.204473,0.790745,1.711779,
100_06_28909,07-01-2010,,0.545683,112.000000,0.180663,0.813306,1.160350,
100_06_47771,01-01-2011,,0.575481,,,,,
100_06_8866,01-01-2011,3.818638,0.598607,103.500000,0.263655,0.728629,0.632194,612
100_06_8866,02-01-2010,,0.482062,83.000000,0.439993,0.554169,1.198142,
100_06_8866,02-01-2011,4.615955,0.641900,89.000000,0.157249,0.836489,0.541262,425
100_06_8866,03-01-2010,3.188141,0.522736,103.000000,0.371249,0.625276,1.236884,350
100_06_8866,03-01-2011,5.104515,0.638182,90.000000,0.484415,0.511522,0.981756,520
100_06_8866,04-01-2010,3.535614,0.531198,106.000000,0.172958,0.820383,1.480000,556
100_06_8866,05-01-2010,4.258218,0.568297,108.000000,0.319930,0.673985,2.010934,539
100_06_8866,06-01-2010,4.013534,0.564852,119.000000,0.240289,0.754567,1.860746,478
100_06_8866,07-01-2010,3.284036,0.519070,120.000000,0.214946,0.779450,1.466747,430
100_06_8866,07-01-2011,5.193095,0.644482,86.000000,0.469749,0.524111,1.176786,320
100_06_8866,08-01-2010,3.141365,0.581647,118.000000,0.121894,0.869317,0.826955,270
100_06_8866,08-01-2011,5.064725,0.668390,89.000000,0.537247,0.458648,0.978723,335
100_06_8866,09-01-2010,3.051795,0.563078,123.000000,0.116664,0.874679,0.710843,289
100_06_8866,09-01-2011,4.482872,0.672537,89.000000,0.416542,0.576262,0.912713,316
100_06_8866,10-01-2010,2.848963,0.563012,132.000000,0.133932,0.855303,0.792638,405
100_06_8866,11-01-2010,2.851526,0.563300,120.000000,0.249222,0.744687,0.652125,496
100_06_8866,12-01-2010,3.632543,0.593011,102.000000,0.281868,0.713280,0.645877,519
